,NR,WOJEWÓDZTWO,KOD STARY,KOD NOWY,NAZWA STACJI,MIEJSCOWOSC,ADRES,lats,lngs
120,121,MAZOWIECKIE,MzMlawaOrdona,MzMlawOrdona,Mława-Ordona,Mława,ul. Ordona 14,53.11242499999999,20.3719878
121,122,MAZOWIECKIE,MzOstrolHallera,MzOstroHalle,Ostrołęka-Hallera,Ostrołęka,gen. J. Hallera 12,53.0839493,21.5798398
122,123,MAZOWIECKIE,MzOtwockBrzoz,MzOtwoBrzozo,Otwock-Brzozowa,Otwock,ul. Brzozowa 2,52.11544989999999,21.2376643
123,124,MAZOWIECKIE,MzPiastowPulask,MzPiasPulask,Piastów-Pułaskiego,Piastów,ul. Pułaskiego 6/8,52.19142550000001,20.8369079
124,125,MAZOWIECKIE,MzPlockPKN,MzPlocKroJad,Płock-Gimnazjum,Płock,ul. Królowej Jadwigi 4,52.55694219999999,19.6868044
125,126,MAZOWIECKIE,MzPlockReja,MzPlocMiReja,Płock-Reja,Płock,ul. Reja 28,52.55135749999999,19.7095824
126,127,MAZOWIECKIE,MzRadomCz,MzRad25Czerw,Radom-Czerwca,Radom,ul. 25 Czerwca 1976,51.4001426,21.1626299
127,128,MAZOWIECKIE,MzRadomHallera,MzRadHallera,Radom-Hallera,Radom,ul. Hallera,51.4160733,21.1705406
128,129,MAZOWIECKIE,MzRadomTochter,MzRadTochter,Radom-Tochtermana,Radom,ul. Tochtermana 1,51.3998412,21.1459024
129,130,MAZOWIECKIE,MzSiedlceKonar,MzSiedKonars,Siedlce-Konarskiego,Siedlce,ul. Konarskiego 11,52.1721503,22.2828899
130,131,MAZOWIECKIE,MzWarszAKrzywon,MzWarAKrzywo,Warszawa-Anieli Krzywoń,Warszawa,ul. Anieli Krzywoń,52.2273928,20.918422
131,132,MAZOWIECKIE,MzWarNiepodKom,MzWarAlNiepo,Warszawa-Komunikacyjna,Warszawa,al. Niepodległości 227/233,52.2196231,21.0044046
132,133,MAZOWIECKIE,MzWarTarKondra,MzWarKondrat,Warszawa-Targówek,Warszawa,ul. Kondratowicza 8,52.2909263,21.0447853
133,134,MAZOWIECKIE,MzWarszMarsz,MzWarMarszal,Warszawa-Marszałkowska,Warszawa,ul. Marszałkowska 68,52.2252754,21.0149406
134,135,MAZOWIECKIE,MzWarPodIMGW,MzWarPodlesn,Warszawa-Podleśna,Warszawa,ul. Podleśna 61,52.28091200000001,20.9613689
135,136,MAZOWIECKIE,MzWarszPorajow,MzWarPorajow,Warszawa-Porajów,Warszawa,ul. Porajów 3,52.314756,20.96097
136,137,MAZOWIECKIE,MzWarszPuszSolska,MzWarPuszSol,Warszawa-Puszczy Solskiej,Warszawa,ul. Puszczy Solskiej 5,52.226617,20.908763
137,138,MAZOWIECKIE,MzWarszBielany,MzWarTolstoj,Warszawa-Tołstoja,Warszawa,ul. Tołstoja 2,52.28400730000001,20.9325568
138,139,MAZOWIECKIE,MzWarszUrsynow,MzWarWokalna,Warszawa-Ursynów,Warszawa,ul. Wokalna 1,52.1605887,21.0329644
139,140,MAZOWIECKIE,MzZyrardRoosevel,MzZyraRoosev,Żyrardów-Roosevelta,Żyrardów,ul. Roosevelta 2,52.053382,20.4294317
140,141,OPOLSKIE,OpGlub1pyl,OpGlubKochan,Głubczyce manualna 1,Głubczyce,ul. Kochanowskiego 23,50.200984,17.819972
141,142,OPOLSKIE,OpKkozle1a,OpKKozBSmial,K-Koźle automat 1,Kędzierzyn-Koźle,ul. Bolesława Śmiałego 5,50.3492569,18.2359109
142,143,OPOLSKIE,OpKlucz2pyl,OpKluczMicki,Kluczbork manualna 2,Kluczbork,ul. Mickiewicza 10,50.9732399,18.207613
143,144,OPOLSKIE,OpNysa3pyl,OpNysaRodzie,Nysa manualna 3,Nysa,ul. Rodziewiczówny 1,50.4606042,17.3300406
144,145,OPOLSKIE,OpOlesno4a,OpOlesSlowac,Olesno automat 4,Olesno,ul. Słowackiego,50.8775724,18.4168659
145,146,OPOLSKIE,OpOpole3a,OpOpoleMinor,Opole automat 3,Opole,ul. Minorytów,50.6671207,17.9219982
146,147,OPOLSKIE,OpOpole4pyl,OpOpoleOsAKr,Opole manualna 4,Opole,os. Armii Krajowej,50.67802,17.9484918
147,148,OPOLSKIE,OpZdze2a,OpZdziePiast,Zdzieszowice automat 2,Zdzieszowice,ul. Piastów 6,50.423924,18.120776
148,149,PODLASKIE,PdBialyPodmiejska,PdBialPulPie,Białystok-Podmiejska,Białystok,ul. 42 Pułku Piechoty,53.1426937,23.2125691
149,150,PODLASKIE,PdBialyWarszawska,PdBialWarsza,Białystok-Warszawska,Białystok,ul. Warszawska 75 A,53.1293269,23.180979
150,151,PODLASKIE,PdBialyMiejska,PdBialWaszyn,Białystok-Miejska,Białystok,ul. Waszyngtona 16,53.1250329,23.1565551
151,152,PODLASKIE,PdBorsuWiejska,PdBorsukowiz,Borsukowizna-Wiejska,Borsukowizna,,53.063889,23.485833
152,153,PODLASKIE,PdLomzaSikorskiego,PdLomSikorsk,Lomza Sikorskiego 48/94,Łomża,ul. Sikorskiego 48/94,53.1833862,22.0551772
153,154,PODLASKIE,PdSuwPulaski,PdSuwPulaski,"Suwałki, ul. Pułaskiego 73",Suwałki,ul. Pułaskiego,54.1314962,22.9510118
154,155,PODKARPACKIE,PkDebicaWIOSGrottgera,PkDebiGrottg,Dębica-Grottgera-WIOS,Dębica,Grottgera 3,50.053869,21.415869
155,156,PODKARPACKIE,PkJarosWIOSPWSTE,PkJarosPruch,Jarosław-PWSTE-WIOS,Jarosław,ul. Pruchnicka,50.0063348,22.6755978
156,157,PODKARPACKIE,PkJasloWIOSSikorskiego,PkJasloSikor,Jaslo-Sikorskiego-WIOS,Jasło,ul. Sikorskiego,49.742881,21.4591732
157,158,PODKARPACKIE,PkKrempnaWIOSMPN,PkKrempnaMPN,Krempna-MPN-WIOS,Krempna,,49.5109776,21.5004151
158,159,PODKARPACKIE,PkKrosnoWIOSKletowki,PkKrosKletow,Krosno-Kletówki,Krosno,ul. Kletówki,49.6913546,21.7512774
159,160,PODKARPACKIE,PkMielecWIOSSolskiego,PkMielSolski,Mielec-MOSIR-WIOS,Mielec,ul. Solskiego,50.2978628,21.4378374
160,161,PODKARPACKIE,PkMielWIOSZarzStr,PkMielZaStre,Mielec - Zarząd Strefy,Mielec,ul. Zarząd Strefy,50.303943,21.470643
161,162,PODKARPACKIE,PkNiskoWIOSSzklar,PkNiskoSzkla,Nisko-Szklarniowa-WIOS,Nisko,ul. Szklarniowa,50.53102089999999,22.1120892
162,163,PODKARPACKIE,PkPrzemyslWIOSGrunw,PkPrzemGrunw,Przemysl-Grunwaldzka-WIOS,Przemyśl,ul. Grunwaldzka,49.7849486,22.752192
163,164,PODKARPACKIE,PkRzeszWIOSNoweMiasto,PkRzeszRejta,Rzeszów-Nowe Miasto,Rzeszów,ul. Rejtana,50.0282449,22.0173139
164,165,PODKARPACKIE,PkSanokWIOSSadowa,PkSanoSadowa,Sanok-Sadowa-WIOS,Sanok,ul. Sadowa,49.5707321,22.1940598
165,166,PODKARPACKIE,PkTarnobWIOSDabrow,PkTarnDabrow,Tarnobrzeg-M.Dabrowskiej-WIOS,Tarnobrzeg,ul. Marii Dąbrowskiej,50.5746322,21.686266
166,167,POMORSKIE,Pm.D,PmGac,WIOŚ Gać - Słowiński Park Narodowy,Gać,,54.4610255,16.8513141
167,168,POMORSKIE,Pm.00.s481m,PmGdaGleboka,WIOŚ Gdańsk - Głęboka,Gdańsk,ul. Głęboka 11,54.352403,18.6737929
168,169,POMORSKIE,Pm.a02a,PmGdaKacze02,AM2 Gdańsk Stogi,Gdańsk,ul. Kaczeńce,54.3636172,18.7000077
169,170,POMORSKIE,Pm.aw08m,PmGdaLecz08m,WIOŚ Gdańsk - Leczkowa,Gdańsk,ul. Leczkowa,54.37833209999999,18.6199741
170,171,POMORSKIE,Pm.a08a,PmGdaLeczk08,AM8 Gdańsk Wrzeszcz,Gdańsk,ul. Leczkowa,54.37833209999999,18.6199741
171,172,POMORSKIE,Pm.a05a,PmGdaOstrz05,AM5 Gdańsk Szadółki,Gdańsk,ul. Ostrzycka,54.32868029999999,18.5572542
172,173,POMORSKIE,Pm.a01a,PmGdaPoWie01,AM1 Gdańsk Śródmieście,Gdańsk,ul. Powstańców Warszawskich,54.3564294,18.6203736
173,174,POMORSKIE,Pm.01w.02m,PmGdaPowWiel,Zaspa,Gdańsk,ul. Powstańców Wielkopolskich,54.3999037,18.6146777
174,175,POMORSKIE,Pm.a03a,PmGdaWyzwo03,AM3 Gdańsk Nowy Port,Gdańsk,ul. Wyzwolenia,54.3996949,18.6629266
175,176,POMORSKIE,Pm.00.w237m,PmGdyJozBema,WIOŚ Gdynia - Bema,Gdynia,ul. Bema,54.5099308,18.5395561
176,177,POMORSKIE,Pm.a04a,PmGdyPoreb04,AM4 Gdynia Pogórze,Gdynia,ul. Porębskiego,54.56103779999999,18.4910868
177,178,POMORSKIE,Pm.a09aN,PmGdySzaf09N,AM9 Gdynia Dąbrowa,Gdynia,ul. Szafranowa,54.4670953,18.4630852
178,179,POMORSKIE,Pm.a10a,PmGdyWendy10,AM10 Gdynia Śródmieście,Gdynia,ul. Wendy,54.5248557,18.542013
179,180,POMORSKIE,Pm05KARTw01m,PmKartWejher,WIOŚ Kartuzy,Kartuzy,ul. Wejhera,54.3343,18.1972
180,181,POMORSKIE,Pm.AM12.a,PmKosTargo12,AM12 Kościerzyna Targowa,Kościerzyna,ul. Targowa,54.1203679,17.9757996
181,182,POMORSKIE,Pm.Kwidz.Sport.m,PmKwiSportow,WIOŚ Kwidzyn - Sportowa,Kwidzyn,ul. Sportowa,53.71885349999999,18.9414386
182,183,POMORSKIE,Pm08LEBAiEMEPa,PmLebaRabkaE,IMGW Łeba - Rąbka,Łeba,,54.760117,17.5563117
183,184,POMORSKIE,Pm.AM16.a,PmLebMalcz16,AM16 Lębork Malczewskiego,Lębork,ul. Malczewskiego,54.5459018,17.7460107
184,185,POMORSKIE,Pm.AM17.a,PmLinieKos17,AM17 Liniewko Kościerskie,Liniewko Kościerskie,,54.10262299999999,18.1816918
185,186,POMORSKIE,Pm.AM15.a,PmMalMicki15,AM15 Malbork Mickiewicza,Malbork,ul. Mickiewicza,54.0339282,19.0323249
186,187,POMORSKIE,Pm.63.wDSAa,PmSlupKniazi,AM11 Słupsk Kniaziewicza,Słupsk,ul. Kniaziewicza 30,54.4639835,17.0461968
187,188,POMORSKIE,Pm.63.wDSPm,PmSlupOrzesz,WIOŚ Słupsk Orzeszkowej,Słupsk,ul. Orzeszkowej,54.4754085,17.0320408
188,189,POMORSKIE,Pm.a06a,PmSopBitPl06,AM6 Sopot,Sopot,ul. Bitwy pod Płowcami,54.433575,18.5805851
