,NR,WOJEWÓDZTWO,KOD STARY,KOD NOWY,NAZWA STACJI,MIEJSCOWOSC,ADRES,lats,lngs
245,246,WIELKOPOLSKIE,WpOstrowWlkpPM10,WpOstWieWyso,"Ostrow Wlkp., ul. Wysocka 57",Ostrów Wielkopolski,ul. Wysocka 57,51.637352,17.822618
246,247,WIELKOPOLSKIE,WpWKP004,WpPiaskiKrzy,WKPKrzyzowka,Krzyżówka,,52.5056303,17.7762461
247,248,WIELKOPOLSKIE,WpPila5710111,WpPilaKusoci,"Pila, ul. Kusocinkiego",Piła,ul. Kusocińskiego,53.1557803,16.7571432
248,249,WIELKOPOLSKIE,WpPleszewPM10/14,WpPleszAlMic,WpPleszew,Pleszew,al. Mickiewicza,51.8855467,17.7884122
249,250,WIELKOPOLSKIE,WpPoznanPOSIRPM10/11,WpPoznChwial,WpPoznanPOSIRPM10/11,Poznań,ul. Chwiałkowskiego,52.3953062,16.9212966
250,251,WIELKOPOLSKIE,WpWKP002,WpPoznDabrow,WKPPoznan 2,Poznań,ul. Dąbrowskiego 169,52.4212909,16.878704
251,252,WIELKOPOLSKIE,WpWKP001,WpPoznPolank,WKPPoznan1,Poznań,ul. Polanki,52.3996248,16.9581835
252,253,WIELKOPOLSKIE,WpPoznanSzymanowskiego17,WpPoznSzyman,"Poznan, ul. Szymanowskiego 17",Poznań,ul. Szymanowskiego 17,52.4594402,16.9056839
253,254,WIELKOPOLSKIE,WpTarnowoPodgornePM10/10,WpTarPodZach,WpTarnowoPodgornePM10/10,Tarnowo Podgórne,ul. Zachodnia,52.4647295,16.6457141
254,255,WIELKOPOLSKIE,WpWagrowiecPM10/10,WpWagrowLipo,WpWagrowiecPM10/10,Wągrowiec,,52.80848,17.19966
255,256,ZACHODNIOPOMORSKIE,ZpKoszalin005,ZpKoszArKraj,Koszalin_ArmiiKrajowej,Koszalin,ul. Armii Krajowej,54.1918246,16.1717744
256,257,ZACHODNIOPOMORSKIE,ZpKoszalin006,ZpKoszSpasow,Koszalin_Spasowskiego,Koszalin,ul. Spasowskiego 2f,54.2066618,16.1928801
257,258,ZACHODNIOPOMORSKIE,ZpMysMysliborz007,ZpMyslZaBram,Myślibórz_ZaBramką,Myślibórz,ul. Za Bramką 8,52.926752,14.8621289
258,259,ZACHODNIOPOMORSKIE,ZpSzczecin001,ZpSzczAndr01,Szczecin_Andrzejewskiego,Szczecin,ul. Andrzejewskiego 23,53.3814,14.663314
259,260,ZACHODNIOPOMORSKIE,ZpSzcSzczecinek008,ZpSzczec1Maj,Szczecinek_1Maja,Szczecinek,ul. 1 Maja 22,53.7114656,16.6926717
260,261,ZACHODNIOPOMORSKIE,ZpSzcSzczecinek010,ZpSzczecPrze,Szczecinek_Przemysłowa,Szczecinek,ul. Przemysłowa,53.69837130000001,16.7042793
261,262,ZACHODNIOPOMORSKIE,ZpSzczecin004,ZpSzczLacz04,Szczecin_Łączna,Szczecin,ul. Łączna,53.471791,14.558695
262,263,ZACHODNIOPOMORSKIE,ZpSzczecin002,ZpSzczPils02,Szczecin_Piłsudskiego,Szczecin,ul. Piłsudskiego 1,53.43232399999999,14.553398
263,264,ZACHODNIOPOMORSKIE,ZpGryfWiduchowa003,ZpWiduBulRyb,Widuchowa,Widuchowa,ul. Bulwary Rybackie 1,53.12204149999999,14.3821142
