,Wojewodztwo,ICD10,Rok,Liczba
231,2,C13,2009,36
232,2,C13,2010,36
233,2,C13,2011,36
234,2,C13,2012,36
235,2,C13,2013,10
236,2,C13,2014,36
237,2,C13,2015,36
238,2,C14,1999,36
239,2,C14,2000,18
240,2,C14,2001,36
241,2,C14,2002,36
242,2,C14,2003,36
243,2,C14,2004,36
244,2,C14,2005,36
245,2,C14,2006,36
246,2,C14,2007,36
247,2,C14,2008,36
248,2,C14,2009,18
249,2,C14,2010,36
250,2,C14,2011,36
251,2,C14,2012,36
252,2,C14,2013,7
253,2,C14,2014,36
254,2,C14,2015,36
255,2,C15,1999,36
256,2,C15,2000,36
257,2,C15,2001,36
258,2,C15,2002,36
259,2,C15,2003,36
260,2,C15,2004,36
261,2,C15,2005,36
262,2,C15,2006,36
263,2,C15,2007,36
264,2,C15,2008,36
265,2,C15,2009,36
266,2,C15,2010,36
267,2,C15,2011,36
268,2,C15,2012,36
269,2,C15,2013,19
270,2,C15,2014,36
271,2,C15,2015,36
272,2,C16,1999,36
273,2,C16,2000,36
274,2,C16,2001,36
275,2,C16,2002,36
276,2,C16,2003,36
277,2,C16,2004,36
278,2,C16,2005,36
279,2,C16,2006,36
280,2,C16,2007,36
281,2,C16,2008,36
282,2,C16,2009,36
283,2,C16,2010,36
284,2,C16,2011,36
285,2,C16,2012,36
286,2,C16,2013,23
287,2,C16,2014,36
288,2,C16,2015,36
289,2,C17,1999,36
290,2,C17,2000,36
291,2,C17,2001,36
292,2,C17,2002,36
293,2,C17,2003,36
294,2,C17,2004,36
295,2,C17,2005,36
296,2,C17,2006,36
297,2,C17,2007,36
298,2,C17,2008,36
299,2,C17,2009,36
300,2,C17,2010,36
301,2,C17,2011,36
302,2,C17,2012,36
303,2,C17,2013,14
304,2,C17,2014,36
305,2,C17,2015,36
306,2,C18,1999,36
307,2,C18,2000,36
308,2,C18,2001,36
309,2,C18,2002,36
310,2,C18,2003,36
311,2,C18,2004,36
312,2,C18,2005,36
313,2,C18,2006,36
314,2,C18,2007,36
315,2,C18,2008,36
316,2,C18,2009,36
317,2,C18,2010,36
318,2,C18,2011,36
319,2,C18,2012,36
320,2,C18,2013,25
321,2,C18,2014,36
322,2,C18,2015,36
323,2,C19,1999,36
324,2,C19,2000,36
325,2,C19,2001,36
326,2,C19,2002,36
