Kod,Nazwa
2012000,Powiat suwalski
2013000,Powiat wysokomazowiecki
2014000,Powiat zambrowski
2061000,Powiat m.Białystok
2062000,Powiat m.Łomża
2063000,Powiat m.Suwałki
2201000,Powiat bytowski
2202000,Powiat chojnicki
2203000,Powiat człuchowski
2204000,Powiat gdański
2205000,Powiat kartuski
2206000,Powiat kościerski
2207000,Powiat kwidzyński
2208000,Powiat lęborski
2209000,Powiat malborski
2210000,Powiat nowodworski
2211000,Powiat pucki
2212000,Powiat słupski
2213000,Powiat starogardzki
2214000,Powiat tczewski
2215000,Powiat wejherowski
2216000,Powiat sztumski
2261000,Powiat m.Gdańsk
2262000,Powiat m.Gdynia
2263000,Powiat m.Słupsk
2264000,Powiat m.Sopot
2401000,Powiat będziński
2402000,Powiat bielski
2403000,Powiat cieszyński
2404000,Powiat częstochowski
2405000,Powiat gliwicki
2406000,Powiat kłobucki
2407000,Powiat lubliniecki
2408000,Powiat mikołowski
2409000,Powiat myszkowski
2410000,Powiat pszczyński
2411000,Powiat raciborski
2412000,Powiat rybnicki
2413000,Powiat tarnogórski
2414000,Powiat bieruńsko-lędziński
2415000,Powiat wodzisławski
2416000,Powiat zawierciański
2417000,Powiat żywiecki
2461000,Powiat m.Bielsko-Biała
2462000,Powiat m.Bytom
2463000,Powiat m.Chorzów
2464000,Powiat m.Częstochowa
2465000,Powiat m.Dąbrowa Górnicza
2466000,Powiat m.Gliwice
2467000,Powiat m.Jastrzębie-Zdrój
2468000,Powiat m.Jaworzno
2469000,Powiat m.Katowice
2470000,Powiat m.Mysłowice
2471000,Powiat m.Piekary Śląskie
2472000,Powiat m.Ruda Śląska
2473000,Powiat m.Rybnik
2474000,Powiat m.Siemianowice Śląskie
2475000,Powiat m.Sosnowiec
2476000,Powiat m.Świętochłowice
2477000,Powiat m.Tychy
2478000,Powiat m.Zabrze
2479000,Powiat m.Żory
2601000,Powiat buski
2602000,Powiat jędrzejowski
2603000,Powiat kazimierski
2604000,Powiat kielecki
2605000,Powiat konecki
2606000,Powiat opatowski
2607000,Powiat ostrowiecki
2608000,Powiat pińczowski
2609000,Powiat sandomierski
2610000,Powiat skarżyski
2611000,Powiat starachowicki
2612000,Powiat staszowski
2613000,Powiat włoszczowski
2661000,Powiat m.Kielce
2801000,Powiat bartoszycki
2802000,Powiat braniewski
2803000,Powiat działdowski
2804000,Powiat elbląski
2805000,Powiat ełcki
2806000,Powiat giżycki
2807000,Powiat iławski
2808000,Powiat kętrzyński
2809000,Powiat lidzbarski
2810000,Powiat mrągowski
2811000,Powiat nidzicki
2812000,Powiat nowomiejski
2813000,Powiat olecki
2814000,Powiat olsztyński
2815000,Powiat ostródzki
2816000,Powiat piski
2817000,Powiat szczycieński
2818000,Powiat gołdapski
2819000,Powiat węgorzewski
2861000,Powiat m.Elbląg
2862000,Powiat m.Olsztyn
3001000,Powiat chodzieski
3002000,Powiat czarnkowsko-trzcianecki
3003000,Powiat gnieźnieński
3004000,Powiat gostyński
3005000,Powiat grodziski
3006000,Powiat jarociński
3007000,Powiat kaliski
3008000,Powiat kępiński
3009000,Powiat kolski
3010000,Powiat koniński
3011000,Powiat kościański
3012000,Powiat krotoszyński
3013000,Powiat leszczyński
3014000,Powiat międzychodzki
3015000,Powiat nowotomyski
3016000,Powiat obornicki
3017000,Powiat ostrowski
3018000,Powiat ostrzeszowski
3019000,Powiat pilski
3020000,Powiat pleszewski
3021000,Powiat poznański
3022000,Powiat rawicki
3023000,Powiat słupecki
3024000,Powiat szamotulski
3025000,Powiat średzki
3026000,Powiat śremski
3027000,Powiat turecki
3028000,Powiat wągrowiecki
3029000,Powiat wolsztyński
3030000,Powiat wrzesiński
3031000,Powiat złotowski
3061000,Powiat m.Kalisz
3062000,Powiat m.Konin
3063000,Powiat m.Leszno
3064000,Powiat m.Poznań
3201000,Powiat białogardzki
3202000,Powiat choszczeński
3203000,Powiat drawski
3204000,Powiat goleniowski
3205000,Powiat gryficki
3206000,Powiat gryfiński
3207000,Powiat kamieński
3208000,Powiat kołobrzeski
3209000,Powiat koszaliński
3210000,Powiat myśliborski
3211000,Powiat policki
3212000,Powiat pyrzycki
3213000,Powiat sławieński
3214000,Powiat stargardzki
3215000,Powiat szczecinecki
3216000,Powiat świdwiński
3217000,Powiat wałecki
3218000,Powiat łobeski
3261000,Powiat m.Koszalin
3262000,Powiat m.Szczecin
3263000,Powiat m.Świnoujście
